subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,8,25,0,1,False,2,6.851392156799999,2.93741125245
S1,shorter,1,8,26,1,0,False,2,5.10268021752,1.01909807445
S1,shorter,1,8,27,0,0,True,5,13.34926780695,1.81022869995
S1,shorter,1,8,28,1,1,True,1,4.9679781494199995,3.28124415169
S1,shorter,1,8,29,1,1,True,1,3.88023341081,1.38375553751
S1,shorter,1,8,30,0,0,True,5,11.00558618885,1.96427149506
S1,shorter,1,8,31,0,0,True,3,6.977890361910001,1.21116907912
S1,shorter,1,8,32,0,1,False,5,11.47136417413,2.00640025515
S1,shorter,1,8,33,1,1,True,1,2.97072749793,1.12466734644
S1,shorter,1,8,34,0,1,False,1,3.6292320757599996,1.34753270416
S1,shorter,1,8,35,0,1,False,1,4.64246608964,2.13242986661
S1,shorter,1,8,36,1,0,False,1,5.93571763719,1.83158656274
S1,shorter,1,8,37,1,1,True,1,2.4167867637200002,1.19515504428
S1,shorter,1,9,1,1,1,True,1,6.6890348922500005,3.51489386023
S1,shorter,1,9,2,1,0,False,5,10.069929632989998,1.4746597058500002
S1,shorter,1,9,3,1,1,True,2,4.42516807792,1.62917138124
S1,shorter,1,9,4,1,1,True,1,3.50097011394,1.38285597739
S1,shorter,1,9,5,1,1,True,3,7.0770238388800015,1.36577211004
S1,shorter,1,9,6,1,1,True,1,4.395989858869998,1.82368241411
S1,shorter,1,9,7,0,0,True,2,7.532000736,2.8498260522900005
S1,shorter,1,9,8,1,0,False,1,4.82198475522,2.42601748251
S1,shorter,1,9,9,1,1,True,5,12.394773929910002,1.86364452281
S1,shorter,1,9,10,1,1,True,2,4.94827399442,1.24573335384
S1,shorter,1,9,11,1,1,True,2,7.947739380769999,2.59108861635
S1,shorter,1,9,12,1,1,True,4,9.74939098923,1.5554822862200002
S1,shorter,1,9,13,1,0,False,2,5.73198605393,1.84472118449
S1,shorter,1,9,14,1,1,True,1,4.205324175009999,2.87976000943
S1,shorter,1,9,15,0,0,True,4,7.2066017266,1.51281829868
S1,shorter,1,9,16,0,1,False,1,4.80944489672,2.05181977814
S1,shorter,1,9,17,1,1,True,5,10.80096784057,1.3630379516600002
S1,shorter,1,9,18,0,1,False,3,9.76803099936,3.00643879454
S1,shorter,1,9,19,1,1,True,1,4.0029326219399985,2.57244416008
S1,shorter,1,9,20,1,1,True,1,4.90993405851,2.20615424289
S1,shorter,1,9,21,1,0,False,3,9.526365222699999,3.76454902562
S1,shorter,1,9,22,0,0,True,1,4.53038104324,1.4082886996
S1,shorter,1,9,23,1,1,True,1,2.5763597783100005,1.26541582055
S1,shorter,1,9,24,0,0,True,3,8.296361539300001,1.13561983634
S1,shorter,1,9,25,0,0,True,2,5.7589282507099995,1.30807792198
S1,shorter,1,9,26,1,1,True,3,9.658670116589999,2.22561856713
S1,shorter,1,9,27,1,1,True,2,5.858176501839999,1.96667480545
S1,shorter,1,9,28,0,0,True,3,6.941102717360001,1.93253123632
S1,shorter,1,9,29,0,0,True,2,4.78861976324,2.26664207566
S1,shorter,1,9,30,1,0,False,2,5.759507939599999,1.52316201308
S1,shorter,1,9,31,1,1,True,3,6.955053531440001,1.06236849786
S1,shorter,1,9,32,1,1,True,1,2.4613142782,1.17552668864
S1,shorter,1,9,33,1,0,False,1,3.22917244511,1.0804290745799998
S1,shorter,1,9,34,1,1,True,5,10.895493810680001,1.20141085734
S1,shorter,1,9,35,1,1,True,2,5.4324435513600005,1.44119552799
S1,shorter,1,9,36,1,0,False,1,2.74756772815,1.1920894039
S1,shorter,1,9,37,0,0,True,1,4.244323004929998,2.15629595537
S1,shorter,1,9,38,1,0,False,5,12.80496096672,1.27818859022
S1,shorter,1,10,1,0,0,True,3,10.989129939780002,3.5814295554
S1,shorter,1,10,2,0,0,True,5,11.141902208380001,1.4142322880000002
S1,shorter,1,10,3,1,1,True,4,8.57372012019,2.85640993315
S1,shorter,1,10,4,0,0,True,4,9.4810091678,1.7705699486400002
S1,shorter,1,10,5,0,0,True,2,7.06577344714,1.45986265569
S1,shorter,1,10,6,0,0,True,5,16.305943309699998,2.6466336335
S1,shorter,1,10,7,0,0,True,2,6.407930771489999,2.33682257421
S1,shorter,1,10,8,1,1,True,4,13.850037903960002,2.41939035466
S1,shorter,1,10,9,0,0,True,4,9.71273541003,1.63886699045
S1,shorter,1,10,10,0,0,True,2,8.84408024436,3.58498919672
S1,shorter,1,10,11,0,1,False,1,4.52765579423,3.16319886315
S1,shorter,1,10,12,0,0,True,1,5.24196683757,3.89825341204
